feature,importance
total_weight_g,0.42425477184474997
floor,0.14283928617924363
min_article_weight_g,0.06685998734228421
avg_article_weight_g,0.06478435936222875
total_articles,0.059582500117171866
max_article_weight_g,0.05480656028279636
order_hour,0.05155129460958583
order_day_of_week,0.033607848248383726
weight_per_box,0.029668530502628316
order_month,0.020123688635161997
floor_elevator_interaction,0.016776886809875158
total_boxes,0.012744096889088586
has_elevator,0.010987252912102058
is_business,0.004331211246449747
is_weekend,0.0038498426963725412
business_floor_interaction,0.0032318823218773
